user_id,tag,basic_value,search_value,action
user52,Transport Preference,,Self-driving,supplemented
user53,Planning Style,semi-planned,well-planned,conflict_updated
user53,Budget Preference,,Medium,supplemented
user53,Transport Preference,,Self-driving,supplemented
user53,Trip Duration Preference,,weekend,supplemented
user53,Group Size,Small Group (3–5),Solo,rejected_weak_evidence
user54,Budget Preference,,Medium,supplemented
user54,Transport Preference,,Self-driving,supplemented
user54,Trip Duration Preference,,weekend,supplemented
user55,Budget Preference,,Medium,supplemented
user55,Group Size,,Solo,supplemented
user55,Transport Preference,,Self-driving,supplemented
user55,Trip Duration Preference,,weekend,supplemented
user56,Interest Category,beach,architecture,conflict_updated
user56,Budget Preference,,Medium,supplemented
user56,Group Size,,Solo,supplemented
user56,Transport Preference,,Self-driving,supplemented
user56,Trip Duration Preference,,weekend,supplemented
user57,Interest Category,shopping & fashions,architecture,conflict_updated
user57,Transport Preference,,Self-driving,supplemented
user58,Budget Preference,,Medium,supplemented
user58,Group Size,,Solo,supplemented
user58,Transport Preference,,Self-driving,supplemented
user58,Trip Duration Preference,,weekend,supplemented
user58,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user58,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user59,Budget Preference,Luxury,Medium,conflict_updated
user59,Transport Preference,,Self-driving,supplemented
user59,Trip Duration Preference,,weekend,supplemented
user59,Group Size,Large Group(6+),Solo,rejected_weak_evidence
user59,Travel Purpose,Adventure,Relaxation,rejected_weak_evidence
user6,Transport Preference,,Self-driving,supplemented
user6,Trip Duration Preference,,weekend,supplemented
user6,Group Size,Family,Solo,rejected_weak_evidence
user6,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user60,Budget Preference,,Medium,supplemented
user60,Transport Preference,,Self-driving,supplemented
user60,Trip Duration Preference,,short(3-5d),supplemented
user60,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user61,Budget Preference,,Medium,supplemented
user61,Group Size,,Couple,supplemented
user61,Transport Preference,,Self-driving,supplemented
user61,Trip Duration Preference,,long(6-14d),supplemented
user62,Group Size,Large Group(6+),Family,conflict_updated
user62,Interest Category,landmarks,architecture,conflict_updated
user62,Budget Preference,,Medium,supplemented
user62,Transport Preference,,Self-driving,supplemented
user62,Trip Duration Preference,,weekend,supplemented
user62,Travel Purpose,Adventure,Relaxation,rejected_weak_evidence
user63,Planning Style,Spontaneous,well-planned,conflict_updated
user63,Budget Preference,,Medium,supplemented
user63,Group Size,,Solo,supplemented
user63,Transport Preference,,Self-driving,supplemented
user64,Budget Preference,,Medium,supplemented
user64,Transport Preference,,Self-driving,supplemented
user64,Group Size,Small Group (3–5),Solo,rejected_weak_evidence
user65,Interest Category,art,architecture,conflict_updated
user65,Trip Duration Preference,short(3-5d),weekend,conflict_updated
user65,Budget Preference,,Medium,supplemented
user65,Group Size,,Solo,supplemented
user65,Transport Preference,,Self-driving,supplemented
user66,Planning Style,go with the flow,well-planned,conflict_updated
user66,Group Size,,Solo,supplemented
user66,Transport Preference,,Flights,supplemented
user66,Trip Duration Preference,,weekend,supplemented
user67,Budget Preference,High,Medium,conflict_updated
user67,Planning Style,semi-planned,well-planned,conflict_updated
user67,Transport Preference,,Self-driving,supplemented
user67,Trip Duration Preference,,weekend,supplemented
user67,Group Size,Large Group(6+),Solo,rejected_weak_evidence
user67,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user68,Planning Style,Spontaneous,well-planned,conflict_updated
user68,Trip Duration Preference,short(3-5d),weekend,conflict_updated
user68,Budget Preference,,Medium,supplemented
user68,Transport Preference,,Self-driving,supplemented
user69,Budget Preference,,Medium,supplemented
user69,Group Size,,Solo,supplemented
user69,Transport Preference,,Self-driving,supplemented
user69,Trip Duration Preference,,weekend,supplemented
user7,Interest Category,museums,architecture,conflict_updated
user7,Budget Preference,,Medium,supplemented
user7,Group Size,,Solo,supplemented
user7,Transport Preference,,Self-driving,supplemented
user7,Trip Duration Preference,,weekend,supplemented
user7,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user70,Planning Style,Spontaneous,well-planned,conflict_updated
user70,Budget Preference,,Medium,supplemented
user70,Transport Preference,,Self-driving,supplemented
user70,Trip Duration Preference,,weekend,supplemented
user70,Group Size,Couple,Solo,rejected_weak_evidence
user71,Interest Category,museums,architecture,conflict_updated
user71,Planning Style,Spontaneous,well-planned,conflict_updated
user71,Group Size,,Solo,supplemented
user71,Transport Preference,,Self-driving,supplemented
user71,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user72,Interest Category,landmarks,architecture,conflict_updated
user72,Budget Preference,,Medium,supplemented
user72,Group Size,,Solo,supplemented
user72,Transport Preference,,Self-driving,supplemented
user72,Trip Duration Preference,,weekend,supplemented
user72,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user73,Interest Category,beach,architecture,conflict_updated
user73,Planning Style,semi-planned,well-planned,conflict_updated
user73,Budget Preference,,Medium,supplemented
user73,Group Size,,Solo,supplemented
user73,Transport Preference,,Self-driving,supplemented
user73,Trip Duration Preference,,long(6-14d),supplemented
user74,Budget Preference,High,Medium,conflict_updated
user74,Planning Style,go with the flow,well-planned,conflict_updated
user74,Transport Preference,,Self-driving,supplemented
user74,Trip Duration Preference,,weekend,supplemented
user75,Budget Preference,Low,Medium,conflict_updated
user75,Interest Category,wildlife,outdoors,conflict_updated
user75,Group Size,,Solo,supplemented
user75,Transport Preference,,Self-driving,supplemented
user75,Trip Duration Preference,,weekend,supplemented
user75,Travel Purpose,Cultural,Relaxation,rejected_weak_evidence
user76,Interest Category,food tours,architecture,conflict_updated
user76,Planning Style,Spontaneous,well-planned,conflict_updated
user76,Budget Preference,,Medium,supplemented
user76,Transport Preference,,Self-driving,supplemented
user76,Trip Duration Preference,,weekend,supplemented
user77,Budget Preference,,Medium,supplemented
user77,Group Size,,Solo,supplemented
user77,Transport Preference,,Self-driving,supplemented
user77,Trip Duration Preference,,weekend,supplemented
user78,Interest Category,landmarks,architecture,conflict_updated
user78,Budget Preference,,Medium,supplemented
user78,Transport Preference,,Self-driving,supplemented
user78,Trip Duration Preference,,weekend,supplemented
user79,Interest Category,art,architecture,conflict_updated
user79,Planning Style,go with the flow,well-planned,conflict_updated
user79,Budget Preference,,Medium,supplemented
user79,Transport Preference,,Self-driving,supplemented
user79,Trip Duration Preference,,weekend,supplemented
user79,Group Size,Family,Solo,rejected_weak_evidence
user79,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user8,Budget Preference,,Medium,supplemented
user8,Transport Preference,,Self-driving,supplemented
user8,Trip Duration Preference,,weekend,supplemented
user8,Group Size,Family,Solo,rejected_weak_evidence
user8,Travel Purpose,Adventure,Food,rejected_weak_evidence
user8,Planning Style,Spontaneous,well-planned,rejected_weak_evidence
user80,Group Size,Large Group(6+),Family,conflict_updated
user80,Planning Style,semi-planned,well-planned,conflict_updated
user80,Transport Preference,,Self-driving,supplemented
user80,Trip Duration Preference,,short(3-5d),supplemented
user81,Interest Category,landmarks,architecture,conflict_updated
user81,Group Size,,Solo,supplemented
user81,Transport Preference,,Self-driving,supplemented
user81,Trip Duration Preference,,weekend,supplemented
user81,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user81,Planning Style,Spontaneous,well-planned,rejected_weak_evidence
user82,Interest Category,shopping & fashions,architecture,conflict_updated
user82,Group Size,,Solo,supplemented
user82,Transport Preference,,Self-driving,supplemented
user82,Trip Duration Preference,,weekend,supplemented
user82,Planning Style,Spontaneous,well-planned,rejected_weak_evidence
user83,Interest Category,performances,architecture,conflict_updated
user83,Budget Preference,,Medium,supplemented
user83,Transport Preference,,Self-driving,supplemented
user83,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user84,Planning Style,go with the flow,well-planned,conflict_updated
user84,Budget Preference,,Medium,supplemented
user84,Transport Preference,,Self-driving,supplemented
user84,Trip Duration Preference,,short(3-5d),supplemented
user85,Budget Preference,Low,Medium,conflict_updated
user85,Group Size,,Solo,supplemented
user85,Transport Preference,,Self-driving,supplemented
user85,Trip Duration Preference,,long(6-14d),supplemented
user85,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user86,Travel Purpose,Adventure,Relaxation,conflict_updated
user86,Planning Style,semi-planned,well-planned,conflict_updated
user86,Budget Preference,,Medium,supplemented
user86,Transport Preference,,Self-driving,supplemented
user86,Trip Duration Preference,,weekend,supplemented
user87,Interest Category,museums,architecture,conflict_updated
user87,Planning Style,go with the flow,well-planned,conflict_updated
user87,Budget Preference,,Medium,supplemented
user87,Group Size,,Solo,supplemented
user87,Transport Preference,,Self-driving,supplemented
user87,Trip Duration Preference,,weekend,supplemented
user88,Budget Preference,,Medium,supplemented
user88,Group Size,,Small Group (3–5),supplemented
user88,Transport Preference,,Flights,supplemented
user88,Trip Duration Preference,,weekend,supplemented
user88,Travel Purpose,Urban,Adventure,rejected_weak_evidence
user88,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user89,Budget Preference,,Medium,supplemented
user89,Group Size,,Couple,supplemented
user89,Transport Preference,,Self-driving,supplemented
user89,Trip Duration Preference,,weekend,supplemented
user9,Budget Preference,,Medium,supplemented
user9,Transport Preference,,Self-driving,supplemented
user9,Trip Duration Preference,,short(3-5d),supplemented
user90,Budget Preference,,Medium,supplemented
user90,Transport Preference,,Self-driving,supplemented
user90,Trip Duration Preference,,long(6-14d),supplemented
user91,Travel Purpose,Food,Cultural,conflict_updated
user91,Budget Preference,,Medium,supplemented
user91,Transport Preference,,Self-driving,supplemented
user91,Trip Duration Preference,,weekend,supplemented
user92,Budget Preference,Luxury,Medium,conflict_updated
user92,Interest Category,beach,architecture,conflict_updated
user92,Transport Preference,,Flights,supplemented
user92,Trip Duration Preference,,weekend,supplemented
user93,Group Size,Large Group(6+),Family,conflict_updated
user93,Interest Category,beach,food tours,conflict_updated
user93,Planning Style,go with the flow,well-planned,conflict_updated
user93,Budget Preference,,Medium,supplemented
user93,Transport Preference,,Self-driving,supplemented
user93,Trip Duration Preference,,long(6-14d),supplemented
user94,Budget Preference,,Medium,supplemented
user94,Transport Preference,,Self-driving,supplemented
user94,Trip Duration Preference,,long(6-14d),supplemented
user95,Budget Preference,,Medium,supplemented
user95,Transport Preference,,Self-driving,supplemented
user95,Trip Duration Preference,,weekend,supplemented
user96,Budget Preference,,Medium,supplemented
user96,Group Size,,Couple,supplemented
user96,Transport Preference,,Self-driving,supplemented
user96,Trip Duration Preference,,weekend,supplemented
user96,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user97,Interest Category,wildlife,outdoors,conflict_updated
user97,Budget Preference,,Medium,supplemented
user97,Group Size,,Solo,supplemented
user97,Transport Preference,,Self-driving,supplemented
user97,Trip Duration Preference,,weekend,supplemented
user97,Travel Purpose,Cultural,Relaxation,rejected_weak_evidence
user98,Interest Category,landmarks,architecture,conflict_updated
user98,Planning Style,go with the flow,well-planned,conflict_updated
user98,Trip Duration Preference,short(3-5d),weekend,conflict_updated
user98,Budget Preference,,Medium,supplemented
user98,Transport Preference,,Self-driving,supplemented
user98,Group Size,Large Group(6+),Solo,rejected_weak_evidence
user98,Travel Purpose,Adventure,Relaxation,rejected_weak_evidence
user99,Budget Preference,,Medium,supplemented
user99,Transport Preference,,Self-driving,supplemented
user99,Travel Purpose,Food,Relaxation,rejected_weak_evidence
