user_id,search_text
user32,Affordable places to visit for live shows lovers planning relaxation vacation
user33,Top-rated hiking trails places for a well-planned and high urban trip
user33,Traveling to Switzerland for hiking trails and urban: what to plan
user34,Flexible travel plan for solo around fashion streets and food
user34,How to plan fashion streets-oriented food holidays with a medium budget
user35,Find the best traditional dishes spots in Switzerland for family during a relaxation journey
user35,Recommended traditional dishes sites to explore on a medium relaxation trip
user35,Recommended traditional dishes sites to explore on a medium relaxation trip
user36,Inspiration for a spontaneous food trip with focus on famous landmarks
user36,Top-rated famous landmarks places for a spontaneous and medium food trip
user37,Flexible travel plan for romantic getaway around scenic spots and urban
user37,Curated list of scenic spots routes and venues for romantic getaway travelers
user37,Top-rated scenic spots places for a semi-planned and medium urban trip
user38,Affordable places to visit for science museums lovers planning food vacation
user38,Flexible travel plan for trip with a few friends around science museums and food
user39,From Switzerland to the world: UNESCO sites options for group travel looking for adventure
user39,Bucket list UNESCO sites things to do on a few days getaway adventure journey
user40,What family travelers love about cultural museums on a long break vacation
user40,Curated list of cultural museums routes and venues for family travelers
user41,Affordable places to visit for nature reserves lovers planning cultural vacation
user41,Last-minute guide for family to enjoy nature reserves while traveling for cultural
user42,Explore UNESCO sites on a cultural escape for a couples trip
user42,Inspiration for a semi-planned cultural trip with focus on UNESCO sites
user42,Inspiration for a semi-planned cultural trip with focus on UNESCO sites
user43,Explore modern art shows on a adventure escape for a group getaway
user43,Ideas for a weekend modern art shows-focused travel for a trip with a few friends
user44,From France to the world: dance events options for with my partner looking for honeymoon
user44,Smart well-planned travel guide to combine dance events and honeymoon
user45,Traveling to Czech Republic for scenic spots and food: what to plan
user45,Bucket list scenic spots things to do on a short vacation food journey
user45,Ideas for a weekend scenic spots-focused travel for a group travel
user46,How to plan local exhibitions-oriented adventure holidays with a high budget
user46,Ideas for a few days getaway local exhibitions-focused travel for a couples trip
user46,From Greece to the world: local exhibitions options for romantic getaway looking for adventure
user47,Smart spontaneous travel guide to combine top attractions and food
user47,Flexible travel plan for friends trip around top attractions and food
user48,Where to enjoy fashion streets while on a few days getaway honeymoon trip
user48,From Greece to the world: fashion streets options for with my partner looking for honeymoon
user48,Affordable places to visit for fashion streets lovers planning honeymoon vacation
user49,Ideas for a weekend local restaurants-focused travel for a group getaway
user49,Curated list of local restaurants routes and venues for group getaway travelers
user49,Top-rated local restaurants places for a semi-planned and medium adventure trip
user50,Last-minute guide for group getaway to enjoy hiking trails while traveling for adventure
user50,Recommended hiking trails sites to explore on a medium adventure trip
user51,Last-minute guide for solo to enjoy dance events while traveling for urban
user51,Last-minute guide for traveling alone to enjoy dance events while traveling for urban
user51,From Czech Republic to the world: dance events options for solo looking for urban
user52,Curated list of local restaurants routes and venues for solo travelers
user52,Top local restaurants experiences in Italy for solo on a weekend vacation
user53,Inspiration for a semi-planned cultural trip with focus on modern architecture
user53,Smart semi-planned travel guide to combine modern architecture and cultural
user53,Find the best modern architecture spots in Croatia for friends trip during a cultural journey
user54,Last-minute guide for trip with a few friends to enjoy art museums while traveling for cultural
user54,Top-rated art museums places for a semi-planned and high cultural trip
user55,Last-minute guide for group travel to enjoy adventure paths while traveling for adventure
user55,Explore adventure paths on a adventure escape for a group travel
user56,What are unique island getaways activities for romantic getaway seeking honeymoon?
user56,Bucket list island getaways things to do on a long break honeymoon journey
user56,Where to enjoy island getaways while on a extended holiday honeymoon trip
user57,Top fashion streets experiences in Italy for family on a weekend vacation
user57,How to plan fashion streets-oriented relaxation holidays with a medium budget
user57,Recommended fashion streets sites to explore on a medium relaxation trip
user58,Curated list of designer boutiques routes and venues for just me travelers
user58,Smart go with the flow travel guide to combine designer boutiques and food
user59,How to plan theater performances-oriented adventure holidays with a medium budget
user59,Curated list of theater performances routes and venues for big family vacation travelers
user60,From Norway to the world: wildlife tours options for solo looking for cultural
user60,Bucket list wildlife tours things to do on a few days getaway cultural journey
user60,Smart go with the flow travel guide to combine wildlife tours and cultural
user61,Where to enjoy seaside resorts while on a long honeymoon trip
user61,Top-rated seaside resorts places for a well-planned and medium honeymoon trip
user61,What are unique seaside resorts activities for romantic getaway seeking honeymoon?
user62,Best regions in Croatia for top attractions during a big family vacation escape
user62,Inspiration for a semi-planned adventure trip with focus on top attractions
user62,Last-minute guide for group travel to enjoy top attractions while traveling for adventure
user63,Find the best historic buildings spots in Switzerland for romantic getaway during a cultural journey
user63,Bucket list historic buildings things to do on a weekend cultural journey
user64,What friends trip travelers love about interactive museums on a weekend vacation
user64,Bucket list interactive museums things to do on a weekend relaxation journey
user64,Where to enjoy interactive museums while on a weekend relaxation trip
user65,Traveling to Spain for local exhibitions and adventure: what to plan
user65,Bucket list local exhibitions things to do on a weekend adventure journey
user66,How to plan interactive museums-oriented cultural holidays with a high budget
user66,How to plan interactive museums-oriented cultural holidays with a high budget
user67,Affordable places to visit for galleries lovers planning urban vacation
user67,What big family vacation travelers love about galleries on a long vacation
user67,Best regions in Croatia for galleries during a group travel escape
user68,Traveling to Spain for foodie spots and food: what to plan
user68,What trip with a few friends travelers love about foodie spots on a weekend vacation
user69,From France to the world: modern art shows options for group travel looking for cultural
user69,Bucket list modern art shows things to do on a few days getaway cultural journey
user70,Traveling to Norway for science museums and honeymoon: what to plan
user70,Find the best science museums spots in Norway for couples trip during a honeymoon journey
user71,Bucket list history exhibitions things to do on a weekend food journey
user71,Recommended history exhibitions sites to explore on a medium food trip
user71,Affordable places to visit for history exhibitions lovers planning food vacation
user72,Curated list of must-see places routes and venues for group travel travelers
user72,Smart well-planned travel guide to combine must-see places and food
user73,What romantic getaway travelers love about coastal towns on a month-long vacation vacation
user73,Bucket list coastal towns things to do on a extended holiday honeymoon journey
user74,Explore iconic structures on a honeymoon escape for a couples trip
user74,Affordable places to visit for iconic structures lovers planning honeymoon vacation
user74,Curated list of iconic structures routes and venues for romantic getaway travelers
user75,Explore nature reserves on a cultural escape for a traveling alone
user75,From Iceland to the world: nature reserves options for traveling alone looking for cultural
user75,Affordable places to visit for nature reserves lovers planning cultural vacation
user76,Find the best street food spots in Switzerland for solo during a cultural journey
user76,Recommended street food sites to explore on a medium cultural trip
user76,Where to enjoy street food while on a long cultural trip
user77,Traveling to France for galleries and honeymoon: what to plan
user77,Traveling to France for galleries and honeymoon: what to plan
user78,What are unique historical sites activities for trip with a few friends seeking cultural?
user78,Flexible travel plan for group getaway around historical sites and cultural
user79,Recommended local exhibitions sites to explore on a medium food trip
user79,Curated list of local exhibitions routes and venues for family travelers
user79,Explore local exhibitions on a food escape for a family
user80,Best regions in Greece for historical sites during a big family vacation escape
user80,How to plan historical sites-oriented cultural holidays with a medium budget
user80,Ideas for a short vacation historical sites-focused travel for a group travel
user81,Smart spontaneous travel guide to combine historical sites and urban
user81,Inspiration for a spontaneous urban trip with focus on historical sites
user81,Affordable places to visit for historical sites lovers planning urban vacation
user82,Bucket list luxury brands things to do on a long cultural journey
user82,Ideas for a long luxury brands-focused travel for a romantic getaway
user82,Last-minute guide for romantic getaway to enjoy luxury brands while traveling for cultural
user83,Smart go with the flow travel guide to combine music festivals and honeymoon
user83,What with my partner travelers love about music festivals on a weekend vacation
user83,Best regions in Croatia for music festivals during a couples trip escape
user84,Last-minute guide for couples trip to enjoy history exhibitions while traveling for cultural
user84,Top history exhibitions experiences in United Kingdom for with my partner on a short vacation vacation
user85,How to plan live shows-oriented relaxation holidays with a medium budget
user85,Top-rated live shows places for a go with the flow and medium relaxation trip
user85,Top live shows experiences in France for just me on a long vacation
user86,Curated list of UNESCO sites routes and venues for family travelers
user86,Curated list of UNESCO sites routes and venues for family travelers
user86,Best regions in Iceland for UNESCO sites during a family escape
user87,Where to enjoy history exhibitions while on a short vacation food trip
user87,Explore history exhibitions on a food escape for a group travel
user88,Explore dance events on a urban escape for a group travel
user88,Flexible travel plan for company retreat around dance events and urban
user88,Last-minute guide for group travel to enjoy dance events while traveling for urban
user89,Ideas for a long fashion streets-focused travel for a romantic getaway
user89,What are unique fashion streets activities for with my partner seeking honeymoon?
user89,What with my partner travelers love about fashion streets on a long vacation
user90,Curated list of modern art shows routes and venues for just me travelers
user90,Traveling to Greece for modern art shows and cultural: what to plan
user90,What solo travelers love about modern art shows on a long vacation
user91,Top-rated cultural museums places for a well-planned and medium food trip
user91,Inspiration for a well-planned food trip with focus on cultural museums
user91,From Italy to the world: cultural museums options for solo looking for food
user92,How to plan coastal towns-oriented honeymoon holidays with a medium budget
user92,From Spain to the world: coastal towns options for couples trip looking for honeymoon
user93,Find the best seaside resorts spots in Switzerland for big family vacation during a food journey
user93,Where to enjoy seaside resorts while on a month-long vacation food trip
user94,Inspiration for a semi-planned cultural trip with focus on music festivals
user94,Top music festivals experiences in Norway for trip with a few friends on a month-long vacation vacation
user95,Find the best foodie spots spots in Croatia for trip with a few friends during a urban journey
user95,Inspiration for a well-planned urban trip with focus on foodie spots
user96,Explore modern art shows on a food escape for a with my partner
user96,Smart well-planned travel guide to combine modern art shows and food
user97,Traveling to France for nature reserves and cultural: what to plan
user97,Bucket list nature reserves things to do on a long cultural journey
user98,From Switzerland to the world: historical sites options for group travel looking for adventure
user98,Top historical sites experiences in Switzerland for big family vacation on a weekend vacation
user99,Best regions in France for UNESCO sites during a trip with a few friends escape
user99,Bucket list UNESCO sites things to do on a weekend food journey
user99,Ideas for a weekend UNESCO sites-focused travel for a group getaway
user100,Last-minute guide for group travel to enjoy local restaurants while traveling for food
user100,Best regions in Spain for local restaurants during a group travel escape
user100,Where to enjoy local restaurants while on a long food trip
