user,Budget Preference,Group Size,Travel Purpose,Interest Category,Planning Style,Transport Preference,Trip Duration Preference,Gender,Age,Location,Browsing Device
user68,,Small Group (3–5),Food,food tours,Spontaneous,,short(3–5d),female,45–60,Spain,Mobile
user69,,,Cultural,art,well-planned,,,female,35–44,France,Mobile
user70,,Couple,Honeymoon,museums,Spontaneous,,,male,25–34,Norway,Mobile
user71,Medium 500–1500£,,Food,museums,Spontaneous,,weekend,male,18–24,United Kingdom,Mobile
user72,,,Food,landmarks,well-planned,,,female,60+,Iceland,Mobile
user73,,,Honeymoon,beach,semi-planned,,,female,45–60,Czech Republic,Mobile
user74,High 1500–5000£,Couple,Honeymoon,architecture,go with the flow,,,female,45–60,France,Mobile
user75,Low <500£,,Cultural,wildlife,well-planned,,,prefer not to say,45–60,Iceland,Mobile
user76,,Solo,Cultural,food tours,Spontaneous,,,prefer not to say,25–34,Switzerland,Mobile
user77,,,Honeymoon,art,well-planned,,,female,25–34,France,Mobile
user78,,Small Group (3–5),Cultural,landmarks,well-planned,,,prefer not to say,35–44,Greece,Mobile
user79,,Family,Food,art,go with the flow,,,female,25–34,Croatia,Mobile
user80,Medium 500–1500£,Large Group(6+),Cultural,landmarks,semi-planned,,,male,25–34,Greece,Mobile
user81,Medium 500–1500£,,Urban,landmarks,Spontaneous,,,prefer not to say,45–60,Croatia,Mobile
user82,Medium 500–1500£,,Cultural,shopping & fashions,Spontaneous,,,prefer not to say,18–24,United Kingdom,Mobile
user83,,Couple,Honeymoon,performances,go with the flow,,weekend,male,25–34,Croatia,Mobile
user84,,Couple,Cultural,museums,go with the flow,,,female,18–24,United Kingdom,Mobile
user85,Low <500£,,Relaxation,performances,go with the flow,,,female,25–34,France,Mobile
user86,,Family,Adventure,architecture,semi-planned,,,male,60+,Iceland,Mobile
user87,,,Food,museums,go with the flow,,,prefer not to say,25–34,Italy,Mobile
user88,,,Urban,performances,go with the flow,,,male,25–34,France,Mobile
user89,,,Honeymoon,shopping & fashions,well-planned,,,prefer not to say,18–24,Switzerland,Mobile
user90,,Solo,Cultural,art,well-planned,,,prefer not to say,35–44,Greece,Mobile
user91,,Solo,Food,museums,well-planned,,,female,35–44,Italy,Mobile
user92,Luxury >5000£,Couple,Honeymoon,beach,well-planned,,,male,60+,Spain,Mobile
user93,,Large Group(6+),Food,beach,go with the flow,,,male,18–24,Switzerland,Mobile
user94,,Small Group (3–5),Cultural,performances,semi-planned,,,female,45–60,Norway,Mobile
user95,,Small Group (3–5),Urban,food tours,well-planned,,,prefer not to say,60+,Croatia,Mobile
user96,,,Food,art,well-planned,,,male,60+,Croatia,Mobile
user97,,,Cultural,wildlife,well-planned,,,female,25–34,France,Mobile
user98,,Large Group(6+),Adventure,landmarks,go with the flow,,short(3–5d),male,45–60,Switzerland,Mobile
user99,,Small Group (3–5),Food,architecture,well-planned,,weekend,prefer not to say,60+,France,Mobile
user100,,,Food,food tours,Spontaneous,,,female,35–44,Spain,Mobile
